aware_carbon_g,aware_energy_kwh,aware_makespan,aware_status,baseline_carbon_g,baseline_energy_kwh,baseline_makespan,baseline_status,baseline_utilization,carbon_savings_pct,day_offset,instance,mode,stretch
3474.75,59.25,115,FEASIBLE,8318.5,59.25,115,OPTIMAL,0.412174,58.2286,330,0,homogeneous,1.0
11081.5,72.0,134,FEASIBLE,14732.0,72.0,134,OPTIMAL,0.429851,24.7794,107,1,homogeneous,1.0
17621.75,71.75,116,FEASIBLE,20211.5,71.75,116,OPTIMAL,0.494828,12.8132,139,2,homogeneous,1.0
2554.25,53.0,100,FEASIBLE,7697.75,53.0,100,OPTIMAL,0.424,66.8182,234,3,homogeneous,1.0
11092.5,56.75,74,FEASIBLE,11403.75,56.75,74,OPTIMAL,0.613514,2.7294,34,4,homogeneous,1.0
3641.25,56.0,120,FEASIBLE,6599.0,56.0,120,OPTIMAL,0.373333,44.8212,325,5,homogeneous,1.0
4616.5,77.75,130,FEASIBLE,5059.0,77.75,130,OPTIMAL,0.478462,8.7468,39,6,homogeneous,1.0
17496.25,74.5,151,FEASIBLE,23113.0,74.5,151,OPTIMAL,0.394702,24.3013,118,7,homogeneous,1.0
9515.5,63.25,124,FEASIBLE,10460.25,63.25,124,OPTIMAL,0.408065,9.0318,4,8,homogeneous,1.0
23657.5,67.0,110,FEASIBLE,26050.25,67.0,110,OPTIMAL,0.487273,9.1851,193,9,homogeneous,1.0
19550.75,77.25,132,FEASIBLE,24039.25,77.25,132,OPTIMAL,0.468182,18.6715,192,10,homogeneous,1.0
4789.75,92.25,123,FEASIBLE,5582.75,92.25,123,OPTIMAL,0.6,14.2045,78,11,homogeneous,1.0
14617.25,74.75,139,FEASIBLE,22814.25,74.75,139,OPTIMAL,0.430216,35.9293,84,12,homogeneous,1.0
8485.25,89.5,127,FEASIBLE,8872.0,89.5,127,OPTIMAL,0.56378,4.3592,48,13,homogeneous,1.0
12169.25,77.0,112,FEASIBLE,14374.75,77.0,112,OPTIMAL,0.55,15.3429,80,14,homogeneous,1.0
7423.0,74.25,136,FEASIBLE,9272.5,74.25,136,OPTIMAL,0.436765,19.9461,202,15,homogeneous,1.0
7170.5,63.5,104,FEASIBLE,7759.25,63.5,104,OPTIMAL,0.488462,7.5877,30,16,homogeneous,1.0
10631.25,86.5,152,FEASIBLE,13084.25,86.5,152,OPTIMAL,0.455263,18.7477,87,17,homogeneous,1.0
8198.25,71.5,139,FEASIBLE,16198.0,71.5,139,OPTIMAL,0.411511,49.3873,245,18,homogeneous,1.0
14940.0,58.25,132,FEASIBLE,15857.5,58.25,132,OPTIMAL,0.35303,5.7859,198,19,homogeneous,1.0
8601.0,84.25,115,FEASIBLE,10064.75,84.25,115,OPTIMAL,0.586087,14.5433,47,20,homogeneous,1.0
4293.5,61.75,111,FEASIBLE,5028.75,61.75,111,OPTIMAL,0.445045,14.6209,321,21,homogeneous,1.0
6759.0,61.75,113,FEASIBLE,7478.75,61.75,113,OPTIMAL,0.437168,9.6239,255,22,homogeneous,1.0
17068.25,76.75,95,FEASIBLE,19442.75,76.75,95,OPTIMAL,0.646316,12.2128,297,23,homogeneous,1.0
