aware_carbon_g,aware_energy_kwh,aware_makespan,aware_status,baseline_carbon_g,baseline_energy_kwh,baseline_makespan,baseline_status,baseline_utilization,carbon_savings_pct,day_offset,instance,mode,stretch
3348.0,59.25,115,FEASIBLE,8318.5,59.25,115,OPTIMAL,0.412174,59.7524,330,0,homogeneous,1.0
5329.75,59.25,168,FEASIBLE,8318.5,59.25,115,OPTIMAL,0.412174,35.929,330,0,homogeneous,1.5
7891.25,59.25,229,FEASIBLE,8318.5,59.25,115,OPTIMAL,0.412174,5.1361,330,0,homogeneous,2.0
11182.25,72.0,134,FEASIBLE,14732.0,72.0,134,OPTIMAL,0.429851,24.0955,107,1,homogeneous,1.0
12937.5,72.0,201,FEASIBLE,14732.0,72.0,134,OPTIMAL,0.429851,12.181,107,1,homogeneous,1.5
17648.75,71.75,116,FEASIBLE,20211.5,71.75,116,OPTIMAL,0.494828,12.6797,139,2,homogeneous,1.0
16872.25,71.75,174,FEASIBLE,20211.5,71.75,116,OPTIMAL,0.494828,16.5215,139,2,homogeneous,1.5
18703.5,71.75,219,FEASIBLE,20211.5,71.75,116,OPTIMAL,0.494828,7.4611,139,2,homogeneous,2.0
2130.5,53.0,100,FEASIBLE,7697.75,53.0,100,OPTIMAL,0.424,72.3231,234,3,homogeneous,1.0
1956.0,53.0,150,FEASIBLE,7697.75,53.0,100,OPTIMAL,0.424,74.59,234,3,homogeneous,1.5
4266.25,53.0,200,FEASIBLE,7697.75,53.0,100,OPTIMAL,0.424,44.578,234,3,homogeneous,2.0
11100.25,56.75,74,FEASIBLE,11403.75,56.75,74,OPTIMAL,0.613514,2.6614,34,4,homogeneous,1.0
5787.25,56.75,111,FEASIBLE,11403.75,56.75,74,OPTIMAL,0.613514,49.2513,34,4,homogeneous,1.5
5338.25,56.75,148,FEASIBLE,11403.75,56.75,74,OPTIMAL,0.613514,53.1886,34,4,homogeneous,2.0
4002.75,56.0,120,FEASIBLE,6557.0,56.0,120,OPTIMAL,0.373333,38.9546,325,5,homogeneous,1.0
6325.75,56.0,180,FEASIBLE,6557.0,56.0,120,OPTIMAL,0.373333,3.5268,325,5,homogeneous,1.5
8514.25,56.0,238,FEASIBLE,6557.0,56.0,120,OPTIMAL,0.373333,-29.8498,325,5,homogeneous,2.0
4603.5,77.75,130,FEASIBLE,5043.25,77.75,130,OPTIMAL,0.478462,8.7196,39,6,homogeneous,1.0
4900.0,77.75,132,FEASIBLE,5043.25,77.75,130,OPTIMAL,0.478462,2.8404,39,6,homogeneous,1.5
8970.25,77.75,244,FEASIBLE,5043.25,77.75,130,OPTIMAL,0.478462,-77.8665,39,6,homogeneous,2.0
17733.25,74.5,151,FEASIBLE,23286.75,74.5,151,OPTIMAL,0.394702,23.8483,118,7,homogeneous,1.0
13885.0,74.5,225,FEASIBLE,23286.75,74.5,151,OPTIMAL,0.394702,40.3738,118,7,homogeneous,1.5
9610.5,63.25,124,FEASIBLE,10460.25,63.25,124,OPTIMAL,0.408065,8.1236,4,8,homogeneous,1.0
10073.75,63.25,130,FEASIBLE,10460.25,63.25,124,OPTIMAL,0.408065,3.6949,4,8,homogeneous,1.5
9859.25,63.25,246,FEASIBLE,10460.25,63.25,124,OPTIMAL,0.408065,5.7456,4,8,homogeneous,2.0
23709.25,67.0,110,FEASIBLE,26013.75,67.0,110,OPTIMAL,0.487273,8.8588,193,9,homogeneous,1.0
21826.5,67.0,163,FEASIBLE,26013.75,67.0,110,OPTIMAL,0.487273,16.0963,193,9,homogeneous,1.5
22489.5,67.0,220,FEASIBLE,26013.75,67.0,110,OPTIMAL,0.487273,13.5476,193,9,homogeneous,2.0
19562.0,77.25,132,FEASIBLE,24039.25,77.25,132,OPTIMAL,0.468182,18.6247,192,10,homogeneous,1.0
22055.0,77.25,132,FEASIBLE,24039.25,77.25,132,OPTIMAL,0.468182,8.2542,192,10,homogeneous,1.5
4618.25,92.25,123,FEASIBLE,5515.0,92.25,123,OPTIMAL,0.6,16.2602,78,11,homogeneous,1.0
5015.0,92.25,170,FEASIBLE,5515.0,92.25,123,OPTIMAL,0.6,9.0662,78,11,homogeneous,1.5
5675.0,92.25,224,FEASIBLE,5515.0,92.25,123,OPTIMAL,0.6,-2.9012,78,11,homogeneous,2.0
14147.25,74.75,139,FEASIBLE,22069.25,74.75,139,OPTIMAL,0.430216,35.8961,84,12,homogeneous,1.0
16027.75,74.75,205,FEASIBLE,22069.25,74.75,139,OPTIMAL,0.430216,27.3752,84,12,homogeneous,1.5
8526.0,89.5,127,FEASIBLE,9008.75,89.5,127,OPTIMAL,0.56378,5.3587,48,13,homogeneous,1.0
8932.75,89.5,128,FEASIBLE,9008.75,89.5,127,OPTIMAL,0.56378,0.8436,48,13,homogeneous,1.5
12503.0,77.0,112,FEASIBLE,14374.75,77.0,112,OPTIMAL,0.55,13.0211,80,14,homogeneous,1.0
8541.25,77.0,168,FEASIBLE,14374.75,77.0,112,OPTIMAL,0.55,40.5816,80,14,homogeneous,1.5
9064.0,77.0,224,FEASIBLE,14374.75,77.0,112,OPTIMAL,0.55,36.945,80,14,homogeneous,2.0
7364.5,74.25,136,FEASIBLE,9312.25,74.25,136,OPTIMAL,0.436765,20.916,202,15,homogeneous,1.0
7167.75,74.25,204,FEASIBLE,9312.25,74.25,136,OPTIMAL,0.436765,23.0288,202,15,homogeneous,1.5
6797.5,74.25,272,FEASIBLE,9312.25,74.25,136,OPTIMAL,0.436765,27.0048,202,15,homogeneous,2.0
3660.9375,60.6875,105,FEASIBLE,9404.3125,63.3125,105,OPTIMAL,0.318095,61.0717,330,0,heterogeneous,1.0
4972.125,57.625,158,FEASIBLE,9404.3125,63.3125,105,OPTIMAL,0.318095,47.1293,330,0,heterogeneous,1.5
5597.4375,57.125,210,FEASIBLE,9404.3125,63.3125,105,OPTIMAL,0.318095,40.4801,330,0,heterogeneous,2.0
15957.0625,73.3125,102,FEASIBLE,17054.375,73.625,102,OPTIMAL,0.645098,6.4342,107,1,heterogeneous,1.0
11541.125,73.3125,153,FEASIBLE,17054.375,73.625,102,OPTIMAL,0.645098,32.3275,107,1,heterogeneous,1.5
12971.5625,73.25,204,FEASIBLE,17054.375,73.625,102,OPTIMAL,0.645098,23.94,107,1,heterogeneous,2.0
20211.3125,73.5625,104,FEASIBLE,21258.375,74.5625,104,OPTIMAL,0.559615,4.9254,139,2,heterogeneous,1.0
15892.375,72.75,156,FEASIBLE,21258.375,74.5625,104,OPTIMAL,0.559615,25.2418,139,2,heterogeneous,1.5
16987.75,69.625,208,FEASIBLE,21258.375,74.5625,104,OPTIMAL,0.559615,20.0891,139,2,heterogeneous,2.0
2465.375,55.0,95,FEASIBLE,8893.25,58.0,95,OPTIMAL,0.362105,72.2781,234,3,heterogeneous,1.0
2304.6875,54.4375,143,FEASIBLE,8893.25,58.0,95,OPTIMAL,0.362105,74.085,234,3,heterogeneous,1.5
5401.4375,51.375,190,FEASIBLE,8893.25,58.0,95,OPTIMAL,0.362105,39.2636,234,3,heterogeneous,2.0
