aware_carbon_g,aware_energy_kwh,aware_makespan,aware_status,aware_timeout_s,baseline_carbon_g,baseline_energy_kwh,baseline_makespan,baseline_status,baseline_utilization,carbon_savings_pct,day_offset,instance,mode,stretch
3466.25,59.25,115,FEASIBLE,10,8318.5,59.25,115,OPTIMAL,0.412174,58.3308,330,0,homogeneous,1.0
2785.5,59.25,126,FEASIBLE,30,8318.5,59.25,115,OPTIMAL,0.412174,66.5144,330,0,homogeneous,1.5
2844.75,59.25,216,FEASIBLE,50,8318.5,59.25,115,OPTIMAL,0.412174,65.8021,330,0,homogeneous,2.0
11169.0,72.0,134,FEASIBLE,10,14732.0,72.0,134,OPTIMAL,0.429851,24.1854,107,1,homogeneous,1.0
8290.25,72.0,201,FEASIBLE,30,14732.0,72.0,134,OPTIMAL,0.429851,43.7262,107,1,homogeneous,1.5
6268.25,72.0,268,FEASIBLE,50,14732.0,72.0,134,OPTIMAL,0.429851,57.4515,107,1,homogeneous,2.0
17657.5,71.75,116,FEASIBLE,10,20211.5,71.75,116,OPTIMAL,0.494828,12.6364,139,2,homogeneous,1.0
14678.75,71.75,172,FEASIBLE,30,20211.5,71.75,116,OPTIMAL,0.494828,27.3743,139,2,homogeneous,1.5
14240.75,71.75,216,FEASIBLE,50,20211.5,71.75,116,OPTIMAL,0.494828,29.5414,139,2,homogeneous,2.0
2387.25,53.0,100,FEASIBLE,10,7970.5,53.0,100,OPTIMAL,0.424,70.0489,234,3,homogeneous,1.0
1882.5,53.0,135,FEASIBLE,30,7970.5,53.0,100,OPTIMAL,0.424,76.3817,234,3,homogeneous,1.5
1889.0,53.0,135,FEASIBLE,50,7970.5,53.0,100,OPTIMAL,0.424,76.3001,234,3,homogeneous,2.0
11046.25,56.75,74,FEASIBLE,10,11403.75,56.75,74,OPTIMAL,0.613514,3.1349,34,4,homogeneous,1.0
5596.0,56.75,111,FEASIBLE,30,11403.75,56.75,74,OPTIMAL,0.613514,50.9284,34,4,homogeneous,1.5
2523.0,56.75,147,FEASIBLE,50,11403.75,56.75,74,OPTIMAL,0.613514,77.8757,34,4,homogeneous,2.0
3781.75,56.0,120,FEASIBLE,10,6599.0,56.0,120,OPTIMAL,0.373333,42.6921,325,5,homogeneous,1.0
3888.5,56.0,160,FEASIBLE,30,6599.0,56.0,120,OPTIMAL,0.373333,41.0744,325,5,homogeneous,1.5
3552.0,56.0,194,FEASIBLE,50,6599.0,56.0,120,OPTIMAL,0.373333,46.1737,325,5,homogeneous,2.0
4588.75,77.75,130,FEASIBLE,10,5059.0,77.75,130,OPTIMAL,0.478462,9.2953,39,6,homogeneous,1.0
4626.75,77.75,132,FEASIBLE,30,5059.0,77.75,130,OPTIMAL,0.478462,8.5442,39,6,homogeneous,1.5
4617.0,77.75,212,FEASIBLE,50,5059.0,77.75,130,OPTIMAL,0.478462,8.7369,39,6,homogeneous,2.0
16413.5,74.5,151,FEASIBLE,10,23113.0,74.5,151,OPTIMAL,0.394702,28.9859,118,7,homogeneous,1.0
7249.0,74.5,223,FEASIBLE,30,23113.0,74.5,151,OPTIMAL,0.394702,68.6367,118,7,homogeneous,1.5
5953.0,74.5,300,FEASIBLE,50,23113.0,74.5,151,OPTIMAL,0.394702,74.2439,118,7,homogeneous,2.0
